machine_id,start_time,end_time,production_counter,duration_sec,max_pressure,is_valid,is_test_run
2호기(창녕),2025-12-01T22:04:42.970000+00:00,2025-12-01T22:04:43.050000+00:00,11.0,0.08,117.2,False,True
2호기(창녕),2025-12-01T22:04:43.970000+00:00,2025-12-01T22:04:44.061000+00:00,11.0,0.091,116.0,False,True
2호기(창녕),2025-12-01T22:04:44.960000+00:00,2025-12-01T22:04:45.163000+00:00,,0.203,116.0,False,True
2호기(창녕),2025-12-01T22:04:45.990000+00:00,2025-12-01T22:04:46.170000+00:00,,0.18,114.8,False,True
2호기(창녕),2025-12-01T22:04:46.950000+00:00,2025-12-01T22:04:47.172000+00:00,,0.222,114.8,False,True
2호기(창녕),2025-12-01T22:04:48.010000+00:00,2025-12-01T22:04:48.116000+00:00,11.0,0.106,113.5,False,True
2호기(창녕),2025-12-01T22:04:48.970000+00:00,2025-12-01T22:04:49.119000+00:00,11.0,0.149,113.5,False,True
2호기(창녕),2025-12-01T22:04:49.960000+00:00,2025-12-01T22:04:50.122000+00:00,11.0,0.162,112.3,False,True
2호기(창녕),2025-12-01T22:04:50.990000+00:00,2025-12-01T22:04:51.126000+00:00,11.0,0.136,111.3,False,True
2호기(창녕),2025-12-01T22:04:52.030000+00:00,2025-12-01T22:04:52.154000+00:00,11.0,0.124,111.3,False,True
2호기(창녕),2025-12-01T22:04:52.990000+00:00,2025-12-01T22:04:53.159000+00:00,11.0,0.169,110.2,False,True
2호기(창녕),2025-12-01T22:04:54.010000+00:00,2025-12-01T22:04:54.265000+00:00,,0.255,110.2,False,True
2호기(창녕),2025-12-01T22:04:55.040000+00:00,2025-12-01T22:04:55.267000+00:00,,0.227,109.0,False,True
2호기(창녕),2025-12-01T22:04:55.990000+00:00,2025-12-01T22:04:56.278000+00:00,,0.288,109.0,False,True
2호기(창녕),2025-12-01T22:04:57.010000+00:00,2025-12-01T22:04:57.279000+00:00,,0.269,107.9,False,True
2호기(창녕),2025-12-01T22:04:58.020000+00:00,2025-12-01T22:04:58.308000+00:00,,0.288,107.0,False,True
2호기(창녕),2025-12-01T22:04:59+00:00,2025-12-01T22:04:59.102000+00:00,,0.102,107.0,False,True
2호기(창녕),2025-12-01T22:05:00+00:00,2025-12-01T22:05:00.072000+00:00,11.0,0.072,105.9,False,True
2호기(창녕),2025-12-01T22:05:01.010000+00:00,2025-12-01T22:05:01.194000+00:00,,0.184,105.9,False,True
2호기(창녕),2025-12-01T22:05:02.020000+00:00,2025-12-01T22:05:02.198000+00:00,,0.178,104.9,False,True
2호기(창녕),2025-12-01T22:05:03.020000+00:00,2025-12-01T22:05:03.201000+00:00,,0.181,103.8,False,True
2호기(창녕),2025-12-01T22:05:04.020000+00:00,2025-12-01T22:05:04.121000+00:00,11.0,0.101,103.8,False,True
2호기(창녕),2025-12-01T22:05:05.040000+00:00,2025-12-01T22:05:05.127000+00:00,11.0,0.087,102.8,False,True
2호기(창녕),2025-12-01T22:05:06.090000+00:00,2025-12-01T22:05:06.132000+00:00,11.0,0.042,102.8,False,True
2호기(창녕),2025-12-01T22:05:07.040000+00:00,2025-12-01T22:05:07.135000+00:00,11.0,0.095,101.7,False,True
2호기(창녕),2025-12-01T22:05:08.040000+00:00,2025-12-01T22:05:08.164000+00:00,11.0,0.124,101.7,False,True
2호기(창녕),2025-12-01T22:05:09.050000+00:00,2025-12-01T22:05:09.282000+00:00,,0.232,100.7,False,True
2호기(창녕),2025-12-01T22:05:10.050000+00:00,2025-12-01T22:05:10.283000+00:00,,0.233,100.7,False,True
2호기(창녕),2025-12-01T22:05:11.080000+00:00,2025-12-01T22:05:11.288000+00:00,,0.208,99.7,False,True
2호기(창녕),2025-12-01T22:05:12.050000+00:00,2025-12-01T22:05:12.292000+00:00,,0.242,98.7,False,True
2호기(창녕),2025-12-01T22:05:13.060000+00:00,2025-12-01T22:05:13.308000+00:00,,0.248,98.7,False,True
